(`TIME`, `PM10`, `PM25`, `NO2`, `O3`, `SO2`, `MAX_VALUE`, `LOKASI`, `LEVEL`),
('2024-04-21', 68, 157, 61, 12, 32, 61, 'Kota Bogor Tanah Sereal', 'Hazardous'),
('2024-02-20', 115, 209, 33, 12, 27, 209, 'Kabupaten Tangerang Curug', 'Very Unhealthy'),
('2024-02-21', 155, 237, 32, 12, 25, 237, 'Kabupaten Tangerang Curug', 'Very Unhealthy'),
('2024-02-22', 106, 157, 32, 12, 29, 157, 'Kabupaten Tangerang Curug', 'Unhealthy'),
('2024-02-23', 68, 153, 32, 12, 44, 153, 'Kabupaten Tangerang Curug', 'Unhealthy'),
('2024-02-24', 68, 206, 31, 12, 42, 206, 'Kabupaten Tangerang Curug', 'Very Unhealthy'),
('2024-02-25', 62, 192, 31, 12, 40, 192, 'Kabupaten Tangerang Curug', 'Unhealthy'),
('2024-02-26', 76, 224, 32, 12, 40, 224, 'Kabupaten Tangerang Curug', 'Very Unhealthy'),
('2024-02-27', 132, 181, 33, 12, 38, 181, 'Kabupaten Tangerang Curug', 'Unhealthy'),
('2024-02-28', 96, 149, 31, 12, 34, 149, 'Kabupaten Tangerang Curug', 'Unhealthy for Sensitive Groups'),
('2024-02-29', 90, 198, 32, 12, 34, 198, 'Kabupaten Tangerang Curug', 'Unhealthy'),
('2024-03-01', 94, 184, 32, 12, 56, 184, 'Kabupaten Tangerang Curug', 'Unhealthy'),
('2024-03-02', 100, 187, 32, 12, 39, 187, 'Kabupaten Tangerang Curug', 'Unhealthy'),
('2024-03-03', 72, 227, 32, 12, 48, 227, 'Kabupaten Tangerang Curug', 'Very Unhealthy'),
('2024-03-04', 67, 178, 31, 12, 200, 200, 'Kabupaten Tangerang Curug', 'Unhealthy'),
('2024-03-05', 41, 113, 31, 12, 200, 200, 'Kabupaten Tangerang Curug', 'Unhealthy'),
('2024-03-06', 42, 131, 31, 12, 49, 131, 'Kabupaten Tangerang Curug', 'Unhealthy for Sensitive Groups'),
('2024-03-07', 38, 130, 31, 12, 55, 130, 'Kabupaten Tangerang Curug', 'Unhealthy for Sensitive Groups'),
('2024-03-08', 30, 116, 31, 12, 40, 116, 'Kabupaten Tangerang Curug', 'Unhealthy for Sensitive Groups'),
('2024-03-09', 52, 165, 31, 12, 37, 165, 'Kabupaten Tangerang Curug', 'Unhealthy'),
('2024-03-10', 128, 184, 32, 12, 33, 184, 'Kabupaten Tangerang Curug', 'Unhealthy'),
('2024-03-11', 103, 159, 32, 12, 35, 159, 'Kabupaten Tangerang Curug', 'Unhealthy'),
('2024-03-12', 81, 143, 31, 12, 44, 143, 'Kabupaten Tangerang Curug', 'Unhealthy for Sensitive Groups'),
('2024-03-13', 74, 163, 31, 12, 38, 163, 'Kabupaten Tangerang Curug', 'Unhealthy'),
('2024-03-14', 78, 164, 31, 12, 33, 164, 'Kabupaten Tangerang Curug', 'Unhealthy'),
('2024-03-15', 31, 145, 30, 12, 36, 145, 'Kabupaten Tangerang Curug', 'Unhealthy for Sensitive Groups'),
('2024-03-16', 32, 135, 30, 12, 36, 135, 'Kabupaten Tangerang Curug', 'Unhealthy for Sensitive Groups'),
('2024-03-17', 31, 134, 31, 12, 37, 134, 'Kabupaten Tangerang Curug', 'Unhealthy for Sensitive Groups'),
('2024-03-18', 38, 142, 30, 12, 42, 142, 'Kabupaten Tangerang Curug', 'Unhealthy for Sensitive Groups'),
('2024-03-19', 52, 155, 31, 12, 42, 155, 'Kabupaten Tangerang Curug', 'Unhealthy'),
('2024-03-20', 52, 155, 31, 12, 48, 155, 'Kabupaten Tangerang Curug', 'Unhealthy'),
('2024-03-21', 78, 209, 31, 12, 38, 209, 'Kabupaten Tangerang Curug', 'Very Unhealthy'),
('2024-03-22', 71, 161, 31, 12, 26, 161, 'Kabupaten Tangerang Curug', 'Unhealthy'),
('2024-03-23', 146, 257, 32, 12, 40, 257, 'Kabupaten Tangerang Curug', 'Very Unhealthy'),
('2024-03-24', 130, 262, 31, 12, 34, 262, 'Kabupaten Tangerang Curug', 'Very Unhealthy'),
('2024-03-25', 88, 170, 31, 12, 30, 170, 'Kabupaten Tangerang Curug', 'Unhealthy'),
('2024-03-26', 120, 243, 32, 12, 27, 243, 'Kabupaten Tangerang Curug', 'Very Unhealthy'),
('2024-03-27', 152, 287, 56, 12, 23, 287, 'Kabupaten Tangerang Curug', 'Very Unhealthy'),
('2024-03-28', 159, 253, 98, 12, 6, 253, 'Kabupaten Tangerang Curug', 'Very Unhealthy'),
('2024-03-29', 151, 235, 31, 12, 6, 235, 'Kabupaten Tangerang Curug', 'Very Unhealthy'),
('2024-03-30', 129, 247, 15, 12, 6, 247, 'Kabupaten Tangerang Curug', 'Very Unhealthy'),
('2024-03-31', 136, 236, 13, 12, 20, 236, 'Kabupaten Tangerang Curug', 'Very Unhealthy'),
('2024-04-01', 127, 232, 79, 12, 33, 232, 'Kabupaten Tangerang Curug', 'Very Unhealthy'),
('2024-04-02', 154, 257, 64, 12, 33, 257, 'Kabupaten Tangerang Curug', 'Very Unhealthy'),
('2024-04-03', 135, 151, 38, 12, 32, 151, 'Kabupaten Tangerang Curug', 'Unhealthy'),
('2024-04-04', 97, 147, 48, 12, 33, 147, 'Kabupaten Tangerang Curug', 'Unhealthy for Sensitive Groups'),
('2024-04-05', 152, 218, 39, 12, 34, 218, 'Kabupaten Tangerang Curug', 'Very Unhealthy'),
('2024-04-06', 68, 113, 30, 12, 35, 113, 'Kabupaten Tangerang Curug', 'Unhealthy for Sensitive Groups'),
('2024-04-07', 74, 96, 33, 12, 35, 96, 'Kabupaten Tangerang Curug', 'Moderate'),
('2024-04-08', 86, 87, 22, 12, 35, 87, 'Kabupaten Tangerang Curug', 'Moderate'),
('2024-04-09', 70, 86, 25, 12, 35, 86, 'Kabupaten Tangerang Curug', 'Moderate'),
('2024-04-10', 100, 118, 31, 12, 35, 118, 'Kabupaten Tangerang Curug', 'Unhealthy for Sensitive Groups'),
('2024-04-11', 58, 67, 15, 12, 36, 67, 'Kabupaten Tangerang Curug', 'Moderate'),
('2024-04-12', 57, 64, 13, 12, 36, 64, 'Kabupaten Tangerang Curug', 'Moderate'),
('2024-04-13', 40, 72, 18, 12, 35, 72, 'Kabupaten Tangerang Curug', 'Moderate'),
('2024-04-14', 52, 62, 10, 12, 35, 62, 'Kabupaten Tangerang Curug', 'Moderate'),
('2024-04-15', 37, 62, 11, 12, 35, 62, 'Kabupaten Tangerang Curug', 'Moderate'),
('2024-04-16', 66, 84, 13, 12, 36, 84, 'Kabupaten Tangerang Curug', 'Moderate'),
('2024-04-17', 63, 88, 9, 12, 35, 88, 'Kabupaten Tangerang Curug', 'Moderate'),
('2024-04-18', 61, 80, 13, 12, 35, 80, 'Kabupaten Tangerang Curug', 'Moderate'),
('2024-04-19', 68, 77, 36, 12, 32, 77, 'Kabupaten Tangerang Curug', 'Moderate'),
('2024-04-20', 126, 103, 22, 12, 33, 126, 'Kabupaten Tangerang Curug', 'Unhealthy for Sensitive Groups'),
('2024-04-21', 66, 103, 37, 12, 32, 103, 'Kabupaten Tangerang Curug', 'Unhealthy for Sensitive Groups'),
('2024-04-22', 164, 103, 37, 12, 33, 164, 'Kabupaten Tangerang Curug', 'Unhealthy'),
('2024-04-23', 186, 88, 32, 12, 33, 186, 'Kabupaten Tangerang Curug', 'Unhealthy'),
('2024-04-24', 95, 103, 15, 12, 32, 103, 'Kabupaten Tangerang Curug', 'Unhealthy for Sensitive Groups'),
('2024-04-25', 145, 103, 12, 12, 32, 145, 'Kabupaten Tangerang Curug', 'Unhealthy for Sensitive Groups'),
('2024-04-26', 89, 79, 22, 12, 32, 89, 'Kabupaten Tangerang Curug', 'Moderate'),
('2024-04-27', 68, 84, 8, 12, 32, 84, 'Kabupaten Tangerang Curug', 'Moderate'),
('2024-04-28', 63, 74, 2, 12, 32, 74, 'Kabupaten Tangerang Curug', 'Moderate'),
('2024-04-29', 178, 145, 1, 12, 33, 178, 'Kabupaten Tangerang Curug', 'Unhealthy'),
('2024-04-30', 143, 137, 1, 12, 32, 143, 'Kabupaten Tangerang Curug', 'Unhealthy for Sensitive Groups'),
('2024-05-01', 119, 95, 1, 12, 32, 119, 'Kabupaten Tangerang Curug', 'Unhealthy for Sensitive Groups'),
('2024-05-02', 143, 130, 1, 12, 31, 143, 'Kabupaten Tangerang Curug', 'Unhealthy for Sensitive Groups'),
('2024-05-03', 152, 132, 2, 12, 32, 152, 'Kabupaten Tangerang Curug', 'Unhealthy'),
('2024-05-04', 148, 116, 2, 12, 32, 148, 'Kabupaten Tangerang Curug', 'Unhealthy for Sensitive Groups'),
('2024-05-05', 169, 151, 1, 12, 33, 169, 'Kabupaten Tangerang Curug', 'Unhealthy'),
('2024-05-06', 146, 145, 1, 12, 33, 146, 'Kabupaten Tangerang Curug', 'Unhealthy for Sensitive Groups'),
('2024-05-07', 149, 158, 2, 12, 32, 158, 'Kabupaten Tangerang Curug', 'Unhealthy'),
('2024-05-08', 186, 159, 2, 12, 32, 186, 'Kabupaten Tangerang Curug', 'Unhealthy'),
('2024-05-09', 211, 153, 2, 12, 33, 211, 'Kabupaten Tangerang Curug', 'Very Unhealthy'),
('2024-05-10', 187, 157, 1, 12, 33, 187, 'Kabupaten Tangerang Curug', 'Unhealthy'),
('2023-09-27', 68, 154, 31, 12, 32, 154, 'Kabupaten Tangerang Curug', 'Unhealthy'),
('2023-09-28', 68, 155, 31, 12, 32, 155, 'Kabupaten Tangerang Curug', 'Unhealthy'),
('2023-09-29', 68, 146, 31, 12, 32, 146, 'Kabupaten Tangerang Curug', 'Unhealthy for Sensitive Groups'),
('2023-09-30', 68, 154, 31, 12, 32, 154, 'Kabupaten Tangerang Curug', 'Unhealthy'),
('2023-10-01', 68, 155, 31, 12, 32, 155, 'Kabupaten Tangerang Curug', 'Unhealthy'),
('2023-10-02', 68, 128, 31, 12, 32, 128, 'Kabupaten Tangerang Curug', 'Unhealthy for Sensitive Groups'),
('2023-10-03', 68, 113, 31, 12, 32, 113, 'Kabupaten Tangerang Curug', 'Unhealthy for Sensitive Groups'),
('2023-10-04', 68, 132, 31, 12, 32, 132, 'Kabupaten Tangerang Curug', 'Unhealthy for Sensitive Groups'),
('2023-10-05', 68, 156, 31, 12, 32, 156, 'Kabupaten Tangerang Curug', 'Unhealthy'),
('2023-10-06', 68, 163, 31, 12, 32, 163, 'Kabupaten Tangerang Curug', 'Unhealthy'),
('2023-10-07', 68, 162, 31, 12, 32, 162, 'Kabupaten Tangerang Curug', 'Unhealthy'),
('2023-10-08', 68, 158, 31, 12, 32, 158, 'Kabupaten Tangerang Curug', 'Unhealthy'),
('2023-10-09', 68, 153, 31, 12, 32, 153, 'Kabupaten Tangerang Curug', 'Unhealthy'),
('2023-10-10', 68, 113, 31, 12, 32, 113, 'Kabupaten Tangerang Curug', 'Unhealthy for Sensitive Groups'),
('2023-10-11', 68, 155, 31, 12, 32, 155, 'Kabupaten Tangerang Curug', 'Unhealthy'),
('2023-10-12', 68, 155, 31, 12, 32, 155, 'Kabupaten Tangerang Curug', 'Unhealthy'),
('2023-10-13', 68, 163, 31, 12, 32, 163, 'Kabupaten Tangerang Curug', 'Unhealthy'),
('2023-10-14', 68, 156, 31, 12, 32, 156, 'Kabupaten Tangerang Curug', 'Unhealthy'),
('2023-10-15', 68, 151, 31, 12, 32, 151, 'Kabupaten Tangerang Curug', 'Unhealthy'),
('2023-10-16', 68, 151, 31, 12, 32, 151, 'Kabupaten Tangerang Curug', 'Unhealthy'),
('2023-10-17', 68, 158, 31, 12, 32, 158, 'Kabupaten Tangerang Curug', 'Unhealthy');
INSERT INTO `air_quality_new` (`TIME`, `PM10`, `PM25`, `NO2`, `O3`, `SO2`, `MAX_VALUE`, `LOKASI`, `LEVEL`) VALUES
('2023-10-18', 68, 157, 31, 12, 32, 157, 'Kabupaten Tangerang Curug', 'Unhealthy'),
('2023-10-19', 68, 149, 31, 12, 32, 149, 'Kabupaten Tangerang Curug', 'Unhealthy for Sensitive Groups'),
('2023-10-20', 68, 132, 31, 12, 32, 132, 'Kabupaten Tangerang Curug', 'Unhealthy for Sensitive Groups'),
('2023-10-21', 68, 144, 31, 12, 32, 144, 'Kabupaten Tangerang Curug', 'Unhealthy for Sensitive Groups'),
('2023-10-22', 68, 161, 31, 12, 32, 161, 'Kabupaten Tangerang Curug', 'Unhealthy'),
('2023-10-23', 68, 157, 31, 12, 32, 157, 'Kabupaten Tangerang Curug', 'Unhealthy'),
('2023-10-24', 68, 160, 31, 12, 32, 160, 'Kabupaten Tangerang Curug', 'Unhealthy'),
('2023-10-25', 68, 158, 31, 12, 32, 158, 'Kabupaten Tangerang Curug', 'Unhealthy'),
('2023-10-26', 68, 165, 31, 12, 32, 165, 'Kabupaten Tangerang Curug', 'Unhealthy'),
('2023-10-27', 68, 164, 31, 12, 32, 164, 'Kabupaten Tangerang Curug', 'Unhealthy'),
('2023-10-28', 68, 157, 31, 12, 32, 157, 'Kabupaten Tangerang Curug', 'Unhealthy'),
('2023-10-29', 68, 146, 31, 12, 32, 146, 'Kabupaten Tangerang Curug', 'Unhealthy for Sensitive Groups'),
('2023-10-30', 68, 142, 31, 12, 32, 142, 'Kabupaten Tangerang Curug', 'Unhealthy for Sensitive Groups'),
('2023-10-31', 68, 160, 31, 12, 32, 160, 'Kabupaten Tangerang Curug', 'Unhealthy'),
('2023-11-01', 68, 156, 31, 12, 32, 156, 'Kabupaten Tangerang Curug', 'Unhealthy'),
('2023-11-02', 68, 151, 31, 12, 32, 151, 'Kabupaten Tangerang Curug', 'Unhealthy'),
('2023-11-03', 68, 154, 31, 12, 32, 154, 'Kabupaten Tangerang Curug', 'Unhealthy'),
('2023-11-04', 68, 156, 31, 12, 32, 156, 'Kabupaten Tangerang Curug', 'Unhealthy'),
('2023-11-05', 68, 98, 31, 12, 32, 98, 'Kabupaten Tangerang Curug', 'Moderate'),
('2023-11-06', 68, 126, 31, 12, 32, 126, 'Kabupaten Tangerang Curug', 'Unhealthy for Sensitive Groups'),
('2023-11-07', 68, 148, 31, 12, 32, 148, 'Kabupaten Tangerang Curug', 'Unhealthy for Sensitive Groups'),
('2023-11-08', 68, 135, 31, 12, 32, 135, 'Kabupaten Tangerang Curug', 'Unhealthy for Sensitive Groups'),
('2023-11-09', 68, 142, 31, 12, 32, 142, 'Kabupaten Tangerang Curug', 'Unhealthy for Sensitive Groups'),
('2023-11-10', 68, 150, 31, 12, 32, 150, 'Kabupaten Tangerang Curug', 'Unhealthy for Sensitive Groups'),
('2023-11-11', 68, 157, 31, 12, 32, 157, 'Kabupaten Tangerang Curug', 'Unhealthy'),
('2023-11-12', 68, 120, 31, 12, 32, 120, 'Kabupaten Tangerang Curug', 'Unhealthy for Sensitive Groups'),
('2023-11-13', 68, 138, 31, 12, 32, 138, 'Kabupaten Tangerang Curug', 'Unhealthy for Sensitive Groups'),
('2023-11-14', 68, 124, 31, 12, 32, 124, 'Kabupaten Tangerang Curug', 'Unhealthy for Sensitive Groups'),
('2023-11-15', 68, 92, 31, 12, 32, 92, 'Kabupaten Tangerang Curug', 'Moderate'),
('2023-11-16', 68, 111, 31, 12, 32, 111, 'Kabupaten Tangerang Curug', 'Unhealthy for Sensitive Groups'),
('2023-11-17', 68, 132, 31, 12, 32, 132, 'Kabupaten Tangerang Curug', 'Unhealthy for Sensitive Groups'),
('2023-11-18', 68, 136, 31, 12, 32, 136, 'Kabupaten Tangerang Curug', 'Unhealthy for Sensitive Groups'),
('2023-11-19', 68, 126, 31, 12, 32, 126, 'Kabupaten Tangerang Curug', 'Unhealthy for Sensitive Groups'),
('2023-11-20', 68, 108, 31, 12, 32, 108, 'Kabupaten Tangerang Curug', 'Unhealthy for Sensitive Groups'),
('2023-11-21', 68, 114, 31, 12, 32, 114, 'Kabupaten Tangerang Curug', 'Unhealthy for Sensitive Groups'),
('2023-11-22', 68, 108, 31, 12, 32, 108, 'Kabupaten Tangerang Curug', 'Unhealthy for Sensitive Groups'),
('2023-11-23', 68, 145, 31, 12, 32, 145, 'Kabupaten Tangerang Curug', 'Unhealthy for Sensitive Groups'),
('2023-11-24', 68, 164, 31, 12, 32, 164, 'Kabupaten Tangerang Curug', 'Unhealthy'),
('2023-11-25', 68, 143, 31, 12, 32, 143, 'Kabupaten Tangerang Curug', 'Unhealthy for Sensitive Groups'),
('2023-11-26', 68, 96, 31, 12, 32, 96, 'Kabupaten Tangerang Curug', 'Moderate'),
('2023-11-27', 68, 115, 31, 12, 32, 115, 'Kabupaten Tangerang Curug', 'Unhealthy for Sensitive Groups'),
('2023-11-28', 68, 126, 31, 12, 32, 126, 'Kabupaten Tangerang Curug', 'Unhealthy for Sensitive Groups'),
('2023-11-29', 68, 139, 31, 12, 32, 139, 'Kabupaten Tangerang Curug', 'Unhealthy for Sensitive Groups'),
('2023-11-30', 68, 82, 31, 12, 32, 82, 'Kabupaten Tangerang Curug', 'Moderate'),
('2023-12-01', 68, 95, 31, 12, 32, 95, 'Kabupaten Tangerang Curug', 'Moderate'),
('2023-12-02', 68, 120, 31, 12, 32, 120, 'Kabupaten Tangerang Curug', 'Unhealthy for Sensitive Groups'),
('2023-12-03', 68, 103, 31, 12, 32, 103, 'Kabupaten Tangerang Curug', 'Unhealthy for Sensitive Groups'),
('2023-12-04', 68, 500, 31, 12, 32, 500, 'Kabupaten Tangerang Curug', 'Hazardous'),
('2023-12-05', 68, 153, 31, 12, 32, 153, 'Kabupaten Tangerang Curug', 'Unhealthy'),
('2023-12-06', 68, 135, 31, 12, 32, 135, 'Kabupaten Tangerang Curug', 'Unhealthy for Sensitive Groups'),
('2023-12-07', 68, 121, 31, 12, 32, 121, 'Kabupaten Tangerang Curug', 'Unhealthy for Sensitive Groups'),
('2023-12-08', 68, 103, 31, 12, 32, 103, 'Kabupaten Tangerang Curug', 'Unhealthy for Sensitive Groups'),
('2023-12-09', 68, 117, 31, 12, 32, 117, 'Kabupaten Tangerang Curug', 'Unhealthy for Sensitive Groups'),
('2023-12-10', 68, 143, 31, 12, 32, 143, 'Kabupaten Tangerang Curug', 'Unhealthy for Sensitive Groups'),
('2023-12-11', 68, 134, 31, 12, 32, 134, 'Kabupaten Tangerang Curug', 'Unhealthy for Sensitive Groups'),
('2023-12-12', 68, 112, 31, 12, 32, 112, 'Kabupaten Tangerang Curug', 'Unhealthy for Sensitive Groups'),
('2023-12-13', 68, 93, 31, 12, 32, 93, 'Kabupaten Tangerang Curug', 'Moderate'),
('2023-12-14', 68, 80, 31, 12, 32, 80, 'Kabupaten Tangerang Curug', 'Moderate'),
('2023-12-15', 68, 83, 31, 12, 32, 83, 'Kabupaten Tangerang Curug', 'Moderate'),
('2023-12-16', 68, 72, 31, 12, 32, 72, 'Kabupaten Tangerang Curug', 'Moderate'),
('2023-12-17', 68, 75, 31, 12, 32, 75, 'Kabupaten Tangerang Curug', 'Moderate'),
('2023-12-18', 68, 76, 31, 12, 32, 76, 'Kabupaten Tangerang Curug', 'Moderate'),
('2023-12-19', 68, 75, 31, 12, 32, 75, 'Kabupaten Tangerang Curug', 'Moderate'),
('2023-12-20', 68, 80, 31, 12, 32, 80, 'Kabupaten Tangerang Curug', 'Moderate'),
('2023-12-21', 68, 77, 31, 12, 32, 77, 'Kabupaten Tangerang Curug', 'Moderate'),
('2023-12-23', 68, 149, 31, 12, 32, 149, 'Kabupaten Tangerang Curug', 'Unhealthy for Sensitive Groups'),
('2023-12-24', 68, 153, 31, 12, 32, 153, 'Kabupaten Tangerang Curug', 'Unhealthy'),
('2023-12-25', 68, 132, 31, 12, 32, 132, 'Kabupaten Tangerang Curug', 'Unhealthy for Sensitive Groups'),
('2023-12-26', 68, 146, 31, 12, 32, 146, 'Kabupaten Tangerang Curug', 'Unhealthy for Sensitive Groups'),
('2023-12-27', 68, 145, 31, 12, 32, 145, 'Kabupaten Tangerang Curug', 'Unhealthy for Sensitive Groups'),
('2023-12-28', 68, 119, 31, 12, 32, 119, 'Kabupaten Tangerang Curug', 'Unhealthy for Sensitive Groups'),
('2023-12-29', 68, 144, 31, 12, 32, 144, 'Kabupaten Tangerang Curug', 'Unhealthy for Sensitive Groups'),
('2023-12-30', 68, 137, 31, 12, 32, 137, 'Kabupaten Tangerang Curug', 'Unhealthy for Sensitive Groups'),
('2023-12-31', 68, 153, 31, 12, 32, 153, 'Kabupaten Tangerang Curug', 'Unhealthy'),
('2024-01-01', 68, 115, 31, 12, 32, 115, 'Kabupaten Tangerang Curug', 'Unhealthy for Sensitive Groups'),
('2024-01-02', 68, 91, 31, 12, 32, 91, 'Kabupaten Tangerang Curug', 'Moderate'),
('2024-01-03', 68, 84, 31, 12, 32, 84, 'Kabupaten Tangerang Curug', 'Moderate'),
('2024-01-04', 68, 65, 31, 12, 32, 68, 'Kabupaten Tangerang Curug', 'Moderate'),
('2024-01-05', 68, 81, 31, 12, 32, 81, 'Kabupaten Tangerang Curug', 'Moderate'),
('2024-01-06', 68, 97, 31, 12, 32, 97, 'Kabupaten Tangerang Curug', 'Moderate'),
('2024-01-07', 68, 121, 31, 12, 32, 121, 'Kabupaten Tangerang Curug', 'Unhealthy for Sensitive Groups'),
('2024-01-08', 68, 74, 31, 12, 32, 74, 'Kabupaten Tangerang Curug', 'Moderate'),
('2024-01-09', 68, 104, 31, 12, 32, 104, 'Kabupaten Tangerang Curug', 'Unhealthy for Sensitive Groups'),
('2024-01-10', 68, 90, 31, 12, 32, 90, 'Kabupaten Tangerang Curug', 'Moderate'),
('2024-01-11', 68, 66, 31, 12, 32, 68, 'Kabupaten Tangerang Curug', 'Moderate'),
('2024-01-12', 68, 38, 31, 12, 32, 68, 'Kabupaten Tangerang Curug', 'Moderate'),
('2024-01-13', 68, 58, 31, 12, 32, 68, 'Kabupaten Tangerang Curug', 'Moderate'),
('2024-01-14', 68, 65, 31, 12, 32, 68, 'Kabupaten Tangerang Curug', 'Moderate'),
('2024-01-29', 68, 74, 31, 12, 32, 74, 'Kabupaten Tangerang Curug', 'Moderate'),
('2024-01-30', 68, 86, 31, 12, 32, 86, 'Kabupaten Tangerang Curug', 'Moderate'),
('2024-01-31', 68, 77, 31, 12, 32, 77, 'Kabupaten Tangerang Curug', 'Moderate'),
('2024-02-01', 68, 93, 31, 12, 32, 93, 'Kabupaten Tangerang Curug', 'Moderate'),
('2024-02-02', 68, 71, 31, 12, 32, 71, 'Kabupaten Tangerang Curug', 'Moderate'),
('2024-02-03', 68, 57, 31, 12, 32, 68, 'Kabupaten Tangerang Curug', 'Moderate'),
('2024-02-04', 68, 32, 31, 12, 32, 68, 'Kabupaten Tangerang Curug', 'Moderate'),
('2024-02-05', 68, 92, 31, 12, 32, 92, 'Kabupaten Tangerang Curug', 'Moderate'),
('2024-02-06', 68, 115, 31, 12, 32, 115, 'Kabupaten Tangerang Curug', 'Unhealthy for Sensitive Groups'),
('2024-02-07', 68, 55, 31, 12, 32, 68, 'Kabupaten Tangerang Curug', 'Moderate'),
('2024-02-08', 68, 103, 31, 12, 32, 103, 'Kabupaten Tangerang Curug', 'Unhealthy for Sensitive Groups'),
('2024-02-09', 68, 100, 31, 12, 32, 100, 'Kabupaten Tangerang Curug', 'Moderate'),
('2024-02-10', 68, 85, 31, 12, 32, 85, 'Kabupaten Tangerang Curug', 'Moderate'),
('2024-02-11', 68, 91, 31, 12, 32, 91, 'Kabupaten Tangerang Curug', 'Moderate'),
('2024-02-12', 68, 114, 31, 12, 32, 114, 'Kabupaten Tangerang Curug', 'Unhealthy for Sensitive Groups'),
('2024-02-13', 68, 90, 31, 12, 32, 90, 'Kabupaten Tangerang Curug', 'Moderate'),
('2024-02-14', 68, 67, 31, 12, 32, 68, 'Kabupaten Tangerang Curug', 'Moderate'),
('2024-02-15', 68, 87, 31, 12, 32, 87, 'Kabupaten Tangerang Curug', 'Moderate'),
('2024-02-16', 68, 157, 31, 12, 32, 157, 'Kabupaten Tangerang Curug', 'Unhealthy'),
('2024-02-17', 68, 122, 31, 12, 32, 122, 'Kabupaten Tangerang Curug', 'Unhealthy for Sensitive Groups'),
('2024-02-18', 68, 106, 31, 12, 32, 106, 'Kabupaten Tangerang Curug', 'Unhealthy for Sensitive Groups'),
('2024-02-19', 68, 109, 31, 12, 32, 109, 'Kabupaten Tangerang Curug', 'Unhealthy for Sensitive Groups'),
('2023-09-27', 98, 210, 88, 10, 1, 210, 'Depok Pancoran Mas', 'Very Unhealthy'),
('2023-09-28', 91, 187, 85, 10, 1, 187, 'Depok Pancoran Mas', 'Unhealthy'),
('2023-09-29', 97, 211, 78, 11, 1, 211, 'Depok Pancoran Mas', 'Very Unhealthy'),
('2023-09-30', 113, 156, 64, 11, 1, 156, 'Depok Pancoran Mas', 'Unhealthy'),
('2023-10-01', 153, 201, 54, 8, 1, 201, 'Depok Pancoran Mas', 'Very Unhealthy'),
('2023-10-02', 129, 161, 23, 6, 16, 161, 'Depok Pancoran Mas', 'Unhealthy'),
('2023-10-03', 93, 197, 25, 6, 19, 197, 'Depok Pancoran Mas', 'Unhealthy'),
('2023-10-04', 112, 151, 28, 6, 21, 151, 'Depok Pancoran Mas', 'Unhealthy'),
('2023-10-05', 112, 225, 30, 5, 20, 225, 'Depok Pancoran Mas', 'Very Unhealthy'),
('2023-10-06', 127, 152, 32, 5, 19, 152, 'Depok Pancoran Mas', 'Unhealthy'),
('2023-10-07', 139, 202, 35, 5, 16, 202, 'Depok Pancoran Mas', 'Very Unhealthy'),
('2023-10-08', 114, 146, 37, 6, 16, 146, 'Depok Pancoran Mas', 'Unhealthy for Sensitive Groups'),
('2023-10-09', 97, 186, 36, 5, 2, 186, 'Depok Pancoran Mas', 'Unhealthy'),
('2023-10-10', 100, 192, 37, 5, 18, 192, 'Depok Pancoran Mas', 'Unhealthy'),
('2023-10-11', 95, 191, 35, 5, 18, 191, 'Depok Pancoran Mas', 'Unhealthy'),
('2023-10-12', 114, 141, 40, 5, 19, 141, 'Depok Pancoran Mas', 'Unhealthy for Sensitive Groups'),
('2023-10-13', 114, 142, 38, 5, 19, 142, 'Depok Pancoran Mas', 'Unhealthy for Sensitive Groups'),
('2023-10-14', 113, 146, 38, 5, 19, 146, 'Depok Pancoran Mas', 'Unhealthy for Sensitive Groups'),
('2023-10-15', 102, 191, 34, 5, 1, 191, 'Depok Pancoran Mas', 'Unhealthy'),
('2023-10-16', 112, 220, 22, 5, 2, 220, 'Depok Pancoran Mas', 'Very Unhealthy'),
('2023-10-17', 102, 217, 19, 5, 18, 217, 'Depok Pancoran Mas', 'Very Unhealthy'),
('2023-10-18', 115, 148, 19, 5, 19, 148, 'Depok Pancoran Mas', 'Unhealthy for Sensitive Groups'),
('2023-10-19', 97, 192, 18, 5, 19, 192, 'Depok Pancoran Mas', 'Unhealthy'),
('2023-10-20', 103, 194, 12, 5, 19, 194, 'Depok Pancoran Mas', 'Unhealthy'),
('2023-10-21', 112, 227, 15, 5, 18, 227, 'Depok Pancoran Mas', 'Very Unhealthy'),
('2023-10-22', 119, 144, 19, 5, 19, 144, 'Depok Pancoran Mas', 'Unhealthy for Sensitive Groups'),
('2023-10-23', 130, 161, 22, 5, 19, 161, 'Depok Pancoran Mas', 'Unhealthy'),
('2023-10-24', 103, 204, 25, 5, 19, 204, 'Depok Pancoran Mas', 'Very Unhealthy'),
('2023-10-25', 115, 151, 23, 5, 2, 151, 'Depok Pancoran Mas', 'Unhealthy'),
('2023-10-26', 151, 181, 17, 5, 18, 181, 'Depok Pancoran Mas', 'Unhealthy'),
('2023-10-27', 157, 212, 21, 5, 15, 212, 'Depok Pancoran Mas', 'Very Unhealthy'),
('2023-10-28', 136, 169, 22, 5, 16, 169, 'Depok Pancoran Mas', 'Unhealthy'),
