(`TIME`, `PM10`, `PM25`, `NO2`, `O3`, `SO2`, `MAX_VALUE`, `LOKASI`, `LEVEL`),
('2023-10-03', 91, 166, 13, 54, 6, 166, 'Jakarta GBK', 'Unhealthy'),
('2023-10-04', 94, 177, 1, 42, 9, 177, 'Jakarta GBK', 'Unhealthy'),
('2023-10-05', 104, 228, 46, 61, 13, 228, 'Jakarta GBK', 'Very Unhealthy'),
('2023-10-06', 122, 156, 47, 64, 14, 156, 'Jakarta GBK', 'Unhealthy'),
('2023-10-07', 156, 223, 64, 67, 17, 223, 'Jakarta GBK', 'Very Unhealthy'),
('2023-10-08', 111, 143, 19, 64, 14, 143, 'Jakarta GBK', 'Unhealthy for Sensitive Groups'),
('2023-10-09', 114, 149, 23, 64, 16, 149, 'Jakarta GBK', 'Unhealthy for Sensitive Groups'),
('2023-10-10', 93, 198, 29, 64, 14, 198, 'Jakarta GBK', 'Unhealthy'),
('2023-10-11', 89, 179, 44, 64, 14, 179, 'Jakarta GBK', 'Unhealthy'),
('2023-10-12', 128, 169, 25, 64, 16, 169, 'Jakarta GBK', 'Unhealthy'),
('2023-10-13', 131, 171, 14, 64, 15, 171, 'Jakarta GBK', 'Unhealthy'),
('2023-10-14', 126, 155, 23, 64, 17, 155, 'Jakarta GBK', 'Unhealthy'),
('2023-10-15', 106, 210, 17, 46, 18, 210, 'Jakarta GBK', 'Very Unhealthy'),
('2023-10-16', 109, 213, 39, 64, 15, 213, 'Jakarta GBK', 'Very Unhealthy'),
('2023-10-17', 120, 155, 39, 61, 16, 155, 'Jakarta GBK', 'Unhealthy'),
('2023-10-18', 129, 151, 40, 64, 17, 151, 'Jakarta GBK', 'Unhealthy'),
('2023-10-19', 90, 180, 37, 64, 15, 180, 'Jakarta GBK', 'Unhealthy'),
('2023-10-20', 85, 166, 37, 64, 15, 166, 'Jakarta GBK', 'Unhealthy'),
('2023-10-21', 118, 148, 37, 64, 20, 148, 'Jakarta GBK', 'Unhealthy for Sensitive Groups'),
('2023-10-22', 139, 174, 37, 64, 20, 174, 'Jakarta GBK', 'Unhealthy'),
('2023-10-23', 134, 164, 37, 64, 18, 164, 'Jakarta GBK', 'Unhealthy'),
('2023-10-24', 151, 173, 35, 67, 19, 173, 'Jakarta GBK', 'Unhealthy'),
('2023-10-25', 139, 204, 36, 67, 20, 204, 'Jakarta GBK', 'Very Unhealthy'),
('2023-10-26', 155, 217, 39, 67, 21, 217, 'Jakarta GBK', 'Very Unhealthy'),
('2023-10-27', 130, 174, 41, 145, 24, 174, 'Jakarta GBK', 'Unhealthy'),
('2023-10-28', 99, 216, 15, 208, 125, 216, 'Jakarta GBK', 'Very Unhealthy'),
('2023-10-29', 87, 169, 16, 208, 125, 208, 'Jakarta GBK', 'Very Unhealthy'),
('2023-10-30', 81, 146, 16, 209, 114, 209, 'Jakarta GBK', 'Very Unhealthy'),
('2023-10-31', 99, 203, 13, 207, 114, 207, 'Jakarta GBK', 'Very Unhealthy'),
('2023-11-01', 88, 195, 13, 208, 114, 208, 'Jakarta GBK', 'Very Unhealthy'),
('2023-11-02', 87, 162, 15, 207, 114, 207, 'Jakarta GBK', 'Very Unhealthy'),
('2023-11-03', 99, 227, 15, 208, 14, 227, 'Jakarta GBK', 'Very Unhealthy'),
('2023-11-04', 98, 219, 15, 206, 141, 219, 'Jakarta GBK', 'Very Unhealthy'),
('2023-11-05', 70, 166, 15, 205, 141, 205, 'Jakarta GBK', 'Very Unhealthy'),
('2023-11-06', 80, 191, 14, 207, 126, 207, 'Jakarta GBK', 'Very Unhealthy'),
('2023-11-07', 88, 195, 79, 192, 29, 195, 'Jakarta GBK', 'Unhealthy'),
('2023-11-08', 115, 150, 39, 61, 19, 150, 'Jakarta GBK', 'Unhealthy for Sensitive Groups'),
('2023-11-09', 152, 196, 41, 54, 20, 196, 'Jakarta GBK', 'Unhealthy'),
('2023-11-10', 152, 207, 38, 64, 19, 207, 'Jakarta GBK', 'Very Unhealthy'),
('2023-11-11', 152, 294, 37, 67, 18, 294, 'Jakarta GBK', 'Very Unhealthy'),
('2023-11-12', 104, 228, 38, 64, 19, 228, 'Jakarta GBK', 'Very Unhealthy'),
('2023-11-13', 106, 144, 37, 64, 20, 144, 'Jakarta GBK', 'Unhealthy for Sensitive Groups'),
('2023-11-14', 95, 216, 39, 61, 19, 216, 'Jakarta GBK', 'Very Unhealthy'),
('2023-11-15', 81, 212, 37, 67, 19, 212, 'Jakarta GBK', 'Very Unhealthy'),
('2023-11-16', 98, 143, 39, 64, 23, 143, 'Jakarta GBK', 'Unhealthy for Sensitive Groups'),
('2023-11-17', 92, 201, 38, 64, 20, 201, 'Jakarta GBK', 'Very Unhealthy'),
('2023-11-18', 99, 171, 38, 64, 19, 171, 'Jakarta GBK', 'Unhealthy'),
('2023-11-19', 91, 221, 34, 71, 18, 221, 'Jakarta GBK', 'Very Unhealthy'),
('2023-11-20', 90, 220, 36, 67, 17, 220, 'Jakarta GBK', 'Very Unhealthy'),
('2023-11-21', 104, 216, 38, 64, 19, 216, 'Jakarta GBK', 'Very Unhealthy'),
('2023-11-22', 78, 163, 34, 67, 18, 163, 'Jakarta GBK', 'Unhealthy'),
('2023-11-23', 106, 155, 36, 71, 18, 155, 'Jakarta GBK', 'Unhealthy'),
('2023-11-24', 155, 278, 37, 71, 21, 278, 'Jakarta GBK', 'Very Unhealthy'),
('2023-11-25', 151, 323, 35, 74, 22, 323, 'Jakarta GBK', 'Hazardous'),
('2023-11-26', 88, 184, 49, 50, 43, 184, 'Jakarta GBK', 'Unhealthy'),
('2023-11-27', 86, 190, 49, 74, 42, 190, 'Jakarta GBK', 'Unhealthy'),
('2023-11-28', 115, 153, 0, 74, 39, 153, 'Jakarta GBK', 'Unhealthy'),
('2023-11-29', 98, 221, 8, 54, 33, 221, 'Jakarta GBK', 'Very Unhealthy'),
('2023-11-30', 83, 142, 55, 47, 8, 142, 'Jakarta GBK', 'Unhealthy for Sensitive Groups'),
('2023-12-01', 91, 156, 54, 51, 9, 156, 'Jakarta GBK', 'Unhealthy'),
('2023-12-02', 107, 163, 27, 40, 11, 163, 'Jakarta GBK', 'Unhealthy'),
('2023-12-03', 69, 135, 24, 45, 10, 135, 'Jakarta GBK', 'Unhealthy for Sensitive Groups'),
('2023-12-04', 111, 201, 22, 47, 15, 201, 'Jakarta GBK', 'Very Unhealthy'),
('2023-12-05', 109, 174, 15, 42, 18, 174, 'Jakarta GBK', 'Unhealthy'),
('2023-12-06', 91, 199, 95, 47, 14, 199, 'Jakarta GBK', 'Unhealthy'),
('2023-12-07', 99, 222, 11, 48, 14, 222, 'Jakarta GBK', 'Very Unhealthy'),
